# Resolved on-chain feedback indices (FeedbackFacet is append-only — this is the
# off-chain "addressed" marker, keyed on the STABLE 0-based on-chain index shown
# by scripts/harvest-feedback.{sh,ps1}). One line per resolved index:
#   <index>  <version-or-commit>  <short note>
# Record a line in the SAME commit that lands the fix (SOP-QA-001 §5.6 Close).
# `harvest-feedback --unresolved` (sh) / `-Unresolved` (ps1) hides every index
# listed here. Absent/empty => nothing hidden. NEVER renumber: indices are
# immutable on-chain array positions —
# ⚠️ EXCEPT across a clearFeedback(): the owner-only clear RESETS the on-chain
# array, so indices restart at 0. When the inbox is cleared, START THIS FILE
# OVER (git history archives the previous epoch — the last pre-clear state is
# commit 555c3af). Stale entries silently hide the WRONG current items.
#
# Epoch: post-clear inbox, first entry ts 1780908751 (2026-06-08).
#
# index  fixed-in   note
3   ddcf483  browser call_agent falls back to the hosted x402 ask_agent route —
#            caller's $LH pays the target's TBA, the proxy answers under its
#            persona; no model key needed on either side
4   ddcf483  (dup of 3) x402 browser flow without a local key
7   04eaa54  keys: 0600 perms + auto-.gitignore on create
9   ec5f8de  `localharness discover` + browser discover_agents (Agent Yellow Pages)
13  f971ce0  create/publish gate names to a valid DNS label (1-63, a-z 0-9 hyphen)
16  7d13fc8  (dup of 7) keys default to ~/.localharness/keys/ (out of cwd)
18  ddcf483  `call --pay <amt>` settles a caller-signed x402 payment to the
#            target's TBA after a successful reply
21  f971ce0  path-traversal names rejected by the same DNS-label gate (no key
#            file is written for an invalid name)
11  11aa6e5  #transcript is a role=log aria-live=polite region — streamed agent
#            replies announce to screen readers (+ 7f3caf8 input labels)
27  65de539  USAGE tab + RPC row removed; credits as label:value row (39af477)
28  65de539  nudge-replay ghost turns: history replay skips auto-continue
#            nudges; FILES-tab half was a boot-deadclick false alarm (see 29)
29  996b222  file editor takes the full DISPLAY pane (dead sizing rule removed)
30  —        no fix needed — #31 measured the dialog at 85vh; #30 judged a
#            cropped screenshot
31  —        self-correction of 30; lesson recorded in docs/SMOKE (measure with
#            getBoundingClientRect, don't eyeball crops)
23  HEAD     subagent tiers documented honestly — tool description + system
#            prompt + llms.txt now state spawn_recursive_subagent's REDUCED
#            surface (fs builtins, create tools, recursion; no value-moving
#            tools, no call_agent) vs text-only start_subagent
22  HEAD     turn failures no longer swallowed as empty successes — gemini/mock
#            now translate System/Error turn-failure Steps into stream Errs
#            (uniform across backends), so the UI shows the real error instead
#            of "(empty response)"
33  HEAD     multi-keyword discover — query tokens ORed + ranked by overlap in
#            rank_agent_matches (Rust) at exact parity with the proxy's ranker
34  HEAD     (dup of 33) category-tag ask deferred; multi-keyword shipped
